"1D.pop.Benf" "1D.pop.MAD" "2D.geo.Benf" "2D.geo.MAD" "3D.socgeo.Benf" "3D.socgeo.MAD" "scenario"
"1" "Close conformity" 0.00095 "Close conformity" 0.00109 "Nonconformity" 0.00267 1
"2" "Acceptable conformity" 0.00128 "Close conformity" 0.00107 "Nonconformity" 0.00245 1
"3" "Acceptable conformity" 0.00145 "Close conformity" 0.00096 "Marginally acceptable conformity" 0.00207 1
"4" "Acceptable conformity" 0.00147 "Close conformity" 0.00101 "Marginally acceptable conformity" 0.00219 1
"5" "Acceptable conformity" 0.00148 "Acceptable conformity" 0.00124 "Nonconformity" 0.00231 1
"6" "Acceptable conformity" 0.0013 "Acceptable conformity" 0.00127 "Nonconformity" 0.00263 1
"7" "Acceptable conformity" 0.0013 "Close conformity" 0.00118 "Nonconformity" 0.00241 1
"8" "Acceptable conformity" 0.00125 "Close conformity" 0.00107 "Nonconformity" 0.00245 1
"9" "Acceptable conformity" 0.00159 "Close conformity" 0.00107 "Marginally acceptable conformity" 0.00217 1
"10" "Close conformity" 0.00095 "Close conformity" 0.00094 "Marginally acceptable conformity" 0.00216 1
"11" "Acceptable conformity" 0.00125 "Close conformity" 0.0011 "Nonconformity" 0.00239 1
"12" "Close conformity" 0.00099 "Close conformity" 0.00104 "Nonconformity" 0.00223 1
"13" "Acceptable conformity" 0.00139 "Close conformity" 0.00115 "Nonconformity" 0.00243 1
"14" "Acceptable conformity" 0.00134 "Close conformity" 0.00118 "Nonconformity" 0.00254 1
"15" "Acceptable conformity" 0.00127 "Close conformity" 0.00085 "Marginally acceptable conformity" 0.00213 1
"16" "Acceptable conformity" 0.00126 "Acceptable conformity" 0.00125 "Nonconformity" 0.00253 1
"17" "Close conformity" 0.00101 "Close conformity" 0.00097 "Nonconformity" 0.00221 1
"18" "Acceptable conformity" 0.00142 "Close conformity" 0.00109 "Nonconformity" 0.00224 1
"19" "Acceptable conformity" 0.00153 "Close conformity" 0.00107 "Marginally acceptable conformity" 0.00217 1
"20" "Close conformity" 0.00112 "Close conformity" 0.00111 "Nonconformity" 0.00258 1
"21" "Acceptable conformity" 0.00155 "Close conformity" 0.00113 "Nonconformity" 0.0025 1
"22" "Close conformity" 0.00084 "Close conformity" 0.00107 "Nonconformity" 0.00235 1
"23" "Acceptable conformity" 0.00132 "Close conformity" 0.00117 "Nonconformity" 0.00244 1
"24" "Close conformity" 0.00113 "Close conformity" 9e-04 "Marginally acceptable conformity" 0.00195 1
"25" "Acceptable conformity" 0.00123 "Close conformity" 0.00102 "Nonconformity" 0.00229 1
"26" "Close conformity" 0.00119 "Acceptable conformity" 0.00123 "Nonconformity" 0.00247 1
"27" "Acceptable conformity" 0.00123 "Acceptable conformity" 0.00121 "Marginally acceptable conformity" 0.00213 1
"28" "Close conformity" 0.00112 "Close conformity" 0.00118 "Nonconformity" 0.0024 1
"29" "Acceptable conformity" 0.00129 "Acceptable conformity" 0.00121 "Nonconformity" 0.00246 1
"30" "Acceptable conformity" 0.00122 "Close conformity" 0.0011 "Nonconformity" 0.00223 1
"31" "Close conformity" 0.00096 "Close conformity" 0.00102 "Nonconformity" 0.00233 1
"32" "Acceptable conformity" 0.00143 "Close conformity" 0.00106 "Marginally acceptable conformity" 0.00215 1
"33" "Close conformity" 0.00119 "Close conformity" 9e-04 "Marginally acceptable conformity" 0.002 1
"34" "Acceptable conformity" 0.00162 "Close conformity" 0.00088 "Marginally acceptable conformity" 0.00205 1
"35" "Close conformity" 9e-04 "Close conformity" 0.00093 "Nonconformity" 0.00234 1
"36" "Close conformity" 0.00111 "Close conformity" 0.0011 "Nonconformity" 0.0023 1
"37" "Acceptable conformity" 0.00143 "Close conformity" 0.00106 "Nonconformity" 0.00243 1
"38" "Acceptable conformity" 0.00142 "Acceptable conformity" 0.00127 "Nonconformity" 0.0024 1
"39" "Acceptable conformity" 0.00152 "Close conformity" 0.00119 "Marginally acceptable conformity" 0.00213 1
"40" "Close conformity" 0.00091 "Acceptable conformity" 0.00127 "Nonconformity" 0.0024 1
"41" "Acceptable conformity" 0.00129 "Close conformity" 0.00116 "Nonconformity" 0.0024 1
"42" "Acceptable conformity" 0.00137 "Close conformity" 0.00115 "Nonconformity" 0.00238 1
"43" "Close conformity" 0.00073 "Close conformity" 0.00106 "Nonconformity" 0.00257 1
"44" "Acceptable conformity" 0.00144 "Close conformity" 0.00114 "Nonconformity" 0.00231 1
"45" "Acceptable conformity" 0.00165 "Close conformity" 0.0011 "Marginally acceptable conformity" 0.0021 1
"46" "Acceptable conformity" 0.0013 "Close conformity" 0.00115 "Nonconformity" 0.00243 1
"47" "Acceptable conformity" 0.00125 "Close conformity" 0.00093 "Marginally acceptable conformity" 0.0021 1
"48" "Acceptable conformity" 0.00169 "Close conformity" 0.00118 "Nonconformity" 0.00247 1
"49" "Acceptable conformity" 0.00147 "Close conformity" 0.00112 "Nonconformity" 0.00224 1
"50" "Acceptable conformity" 0.0014 "Acceptable conformity" 0.00125 "Nonconformity" 0.00231 1
"51" "Close conformity" 0.00107 "Close conformity" 0.00094 "Nonconformity" 0.0023 1
"52" "Close conformity" 0.00112 "Acceptable conformity" 0.00123 "Nonconformity" 0.00236 1
"53" "Close conformity" 0.00116 "Acceptable conformity" 0.00125 "Nonconformity" 0.00238 1
"54" "Acceptable conformity" 0.00147 "Close conformity" 0.00098 "Nonconformity" 0.00223 1
"55" "Close conformity" 0.00115 "Acceptable conformity" 0.00122 "Nonconformity" 0.00261 1
"56" "Acceptable conformity" 0.00142 "Close conformity" 0.00093 "Nonconformity" 0.00238 1
"57" "Acceptable conformity" 0.0015 "Close conformity" 0.00106 "Marginally acceptable conformity" 0.00213 1
"58" "Close conformity" 0.00101 "Close conformity" 0.00089 "Nonconformity" 0.00234 1
"59" "Acceptable conformity" 0.00132 "Close conformity" 0.00098 "Nonconformity" 0.00257 1
"60" "Close conformity" 0.00109 "Close conformity" 0.00103 "Nonconformity" 0.00231 1
"61" "Acceptable conformity" 0.00155 "Close conformity" 0.0011 "Marginally acceptable conformity" 0.00217 1
"62" "Close conformity" 0.00103 "Close conformity" 0.00109 "Nonconformity" 0.00259 1
"63" "Close conformity" 0.00092 "Acceptable conformity" 0.0012 "Nonconformity" 0.00229 1
"64" "Acceptable conformity" 0.00134 "Close conformity" 0.00105 "Nonconformity" 0.00243 1
"65" "Acceptable conformity" 0.00129 "Close conformity" 0.00094 "Marginally acceptable conformity" 0.00216 1
"66" "Acceptable conformity" 0.00124 "Close conformity" 0.00107 "Nonconformity" 0.00228 1
"67" "Acceptable conformity" 0.00148 "Close conformity" 0.00105 "Nonconformity" 0.00224 1
"68" "Acceptable conformity" 0.0013 "Close conformity" 0.00105 "Nonconformity" 0.0025 1
"69" "Acceptable conformity" 0.00124 "Close conformity" 0.00106 "Nonconformity" 0.00233 1
"70" "Close conformity" 0.00111 "Close conformity" 0.00118 "Nonconformity" 0.00227 1
"71" "Acceptable conformity" 0.00147 "Close conformity" 0.00101 "Nonconformity" 0.00222 1
"72" "Close conformity" 0.00103 "Close conformity" 0.00103 "Nonconformity" 0.00223 1
"73" "Close conformity" 0.00119 "Close conformity" 0.00115 "Nonconformity" 0.00232 1
"74" "Close conformity" 0.00115 "Close conformity" 0.00107 "Nonconformity" 0.00238 1
"75" "Close conformity" 0.00102 "Acceptable conformity" 0.00142 "Nonconformity" 0.00281 1
"76" "Acceptable conformity" 0.0014 "Close conformity" 0.00108 "Nonconformity" 0.00259 1
"77" "Acceptable conformity" 0.00134 "Close conformity" 0.00097 "Nonconformity" 0.00229 1
"78" "Acceptable conformity" 0.0012 "Close conformity" 0.00103 "Nonconformity" 0.00225 1
"79" "Close conformity" 0.00094 "Close conformity" 0.00093 "Marginally acceptable conformity" 0.00214 1
"80" "Acceptable conformity" 0.0013 "Close conformity" 0.00087 "Marginally acceptable conformity" 0.00205 1
"81" "Acceptable conformity" 0.00121 "Close conformity" 0.00096 "Nonconformity" 0.0023 1
"82" "Close conformity" 0.00118 "Close conformity" 0.00117 "Nonconformity" 0.00227 1
"83" "Acceptable conformity" 0.00143 "Close conformity" 0.00108 "Nonconformity" 0.00253 1
"84" "Acceptable conformity" 0.00131 "Close conformity" 0.00081 "Nonconformity" 0.00224 1
"85" "Acceptable conformity" 0.00136 "Close conformity" 0.00093 "Marginally acceptable conformity" 0.00213 1
"86" "Acceptable conformity" 0.00133 "Close conformity" 0.00109 "Nonconformity" 0.00222 1
"87" "Acceptable conformity" 0.0013 "Close conformity" 0.0011 "Marginally acceptable conformity" 0.00215 1
"88" "Close conformity" 0.00102 "Close conformity" 0.00088 "Nonconformity" 0.00252 1
"89" "Close conformity" 0.00115 "Close conformity" 0.00115 "Nonconformity" 0.00247 1
"90" "Close conformity" 0.001 "Close conformity" 0.00106 "Marginally acceptable conformity" 0.00211 1
"91" "Acceptable conformity" 0.00137 "Close conformity" 0.00118 "Nonconformity" 0.00232 1
"92" "Acceptable conformity" 0.00123 "Close conformity" 0.00115 "Nonconformity" 0.00243 1
"93" "Close conformity" 0.00093 "Acceptable conformity" 0.00124 "Nonconformity" 0.00252 1
"94" "Acceptable conformity" 0.00167 "Close conformity" 0.00093 "Marginally acceptable conformity" 0.00201 1
"95" "Close conformity" 0.00109 "Close conformity" 0.00103 "Nonconformity" 0.00224 1
"96" "Acceptable conformity" 0.00164 "Acceptable conformity" 0.00125 "Nonconformity" 0.00246 1
"97" "Close conformity" 0.00117 "Close conformity" 0.00105 "Nonconformity" 0.00221 1
"98" "Close conformity" 0.00113 "Close conformity" 0.00098 "Nonconformity" 0.00226 1
"99" "Acceptable conformity" 0.00133 "Close conformity" 0.00104 "Nonconformity" 0.00272 1
"100" "Close conformity" 0.00112 "Close conformity" 0.00104 "Nonconformity" 0.00242 1
"101" "Acceptable conformity" 0.00138 "Acceptable conformity" 0.00124 "Nonconformity" 0.00244 1
"102" "Acceptable conformity" 0.00152 "Close conformity" 0.00097 "Nonconformity" 0.00234 1
"103" "Acceptable conformity" 0.00159 "Close conformity" 0.00099 "Marginally acceptable conformity" 0.00215 1
"104" "Close conformity" 0.00105 "Close conformity" 0.00088 "Nonconformity" 0.00223 1
"105" "Acceptable conformity" 0.00162 "Close conformity" 0.00114 "Nonconformity" 0.00223 1
"106" "Close conformity" 0.00107 "Close conformity" 0.00113 "Nonconformity" 0.00233 1
"107" "Close conformity" 0.00095 "Close conformity" 0.00119 "Nonconformity" 0.00253 1
"108" "Close conformity" 0.00119 "Close conformity" 0.00092 "Nonconformity" 0.00264 1
"109" "Acceptable conformity" 0.00142 "Close conformity" 0.001 "Nonconformity" 0.00234 1
"110" "Acceptable conformity" 0.00155 "Acceptable conformity" 0.00128 "Nonconformity" 0.00241 1
"111" "Acceptable conformity" 0.00159 "Close conformity" 0.00101 "Nonconformity" 0.00229 1
"112" "Acceptable conformity" 0.0014 "Close conformity" 0.00115 "Marginally acceptable conformity" 0.00207 1
"113" "Close conformity" 0.00103 "Close conformity" 0.00116 "Nonconformity" 0.00239 1
"114" "Close conformity" 0.00112 "Close conformity" 0.001 "Nonconformity" 0.00237 1
"115" "Acceptable conformity" 0.00125 "Close conformity" 0.00101 "Nonconformity" 0.00245 1
"116" "Acceptable conformity" 0.00165 "Close conformity" 0.00115 "Marginally acceptable conformity" 0.00203 1
"117" "Close conformity" 0.00119 "Close conformity" 0.00101 "Nonconformity" 0.00224 1
"118" "Acceptable conformity" 0.00168 "Close conformity" 0.00112 "Nonconformity" 0.00245 1
"119" "Acceptable conformity" 0.00159 "Close conformity" 0.00093 "Marginally acceptable conformity" 0.00191 1
"120" "Acceptable conformity" 0.00147 "Acceptable conformity" 0.00126 "Nonconformity" 0.0026 1
"121" "Close conformity" 0.00104 "Close conformity" 0.00104 "Nonconformity" 0.00236 1
"122" "Close conformity" 0.00105 "Close conformity" 0.00098 "Nonconformity" 0.00223 1
"123" "Acceptable conformity" 0.00132 "Acceptable conformity" 0.00132 "Nonconformity" 0.0025 1
"124" "Close conformity" 0.00088 "Close conformity" 0.00119 "Nonconformity" 0.00277 1
"125" "Acceptable conformity" 0.00138 "Close conformity" 0.00106 "Nonconformity" 0.00236 1
"126" "Acceptable conformity" 0.00149 "Close conformity" 0.00105 "Nonconformity" 0.00223 1
